00:10:51.976 INFO  ============ Fresh Run ============
00:10:52.026 DEBUG Making request: POST https://oauth2.googleapis.com/token
00:10:52.045 DEBUG Starting new HTTPS connection (1): oauth2.googleapis.com:443
00:10:52.101 DEBUG https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
00:10:52.181 DEBUG Setting new watch iwciw5001-07
00:10:52.477 DEBUG Setting new watch iwciw5102-02
00:10:52.787 DEBUG Setting new watch iwciw3783-03
00:10:53.088 DEBUG Setting new watch iwciw5027-02
00:10:53.382 DEBUG Setting new watch iwciw3718-08
00:10:53.711 DEBUG Setting new watch iwciw3950-03
00:10:54.008 DEBUG Setting new watch iwciw5038-01
00:10:54.310 DEBUG Setting new watch iwciw5001-01
00:10:54.600 DEBUG Setting new watch iwciw5009-16
00:10:54.897 DEBUG Setting new watch iwciw3807-01
00:10:55.205 DEBUG Setting new watch iwciw3903-01
00:10:55.500 DEBUG Setting new watch iwciw3879-01
00:10:55.804 DEBUG Setting new watch iwciw4594-01
00:10:56.278 DEBUG Setting new watch iwciw3290-01
00:10:56.567 DEBUG Setting new watch iwciw3910-36
00:10:56.868 DEBUG Setting new watch iwciw3777-14
00:10:57.185 DEBUG Setting new watch iwciw3777-17
00:10:57.481 DEBUG Setting new watch iwciw5010-04
00:10:57.852 DEBUG Setting new watch iwciw3538-04
00:10:58.130 DEBUG Setting new watch iwciw3881-01
00:10:58.402 DEBUG Setting new watch iwciw3239-09
00:10:58.668 DEBUG Setting new watch iwciw5005-01
00:10:58.961 DEBUG Setting new watch iwciw3268-03
00:10:59.250 DEBUG Setting new watch iwciw3583-04
00:10:59.846 DEBUG Setting new watch iwciw3767-05
00:11:00.118 DEBUG Setting new watch iwciw3891-05
00:11:00.385 DEBUG Setting new watch iwciw3239-02
00:11:00.653 DEBUG Setting new watch iwciw3714-17
00:11:00.929 DEBUG Setting new watch iwciw3290-02
00:11:01.199 DEBUG Setting new watch iwciw3714-47
00:11:01.477 DEBUG Setting new watch iwciw3290-03
00:11:01.770 DEBUG Setting new watch iwciw3718-07
00:11:02.120 DEBUG Setting new watch iwciw3270-10
00:11:02.413 DEBUG Setting new watch iwciw3778-01
00:11:02.729 DEBUG Setting new watch iwciw3879-02
00:11:03.036 DEBUG Setting new watch iwciw3247-03
00:11:03.337 DEBUG Setting new watch iwciw3568-06
00:11:03.637 DEBUG Setting new watch iwciw3891-07
00:11:03.911 DEBUG Setting new watch iwciw3265-01
00:11:04.219 DEBUG Setting new watch iwciw5019-02
00:11:04.517 DEBUG Setting new watch iwciw5035-02
00:11:04.797 DEBUG Setting new watch iwciw3714-46
00:11:05.111 DEBUG Setting new watch iwciw3955-01
00:11:05.462 DEBUG Setting new watch iwciw3583-05
00:11:05.750 DEBUG Setting new watch iwciw3718-06
00:11:06.046 DEBUG Setting new watch iwciw5009-12
00:11:06.454 DEBUG Setting new watch iwciw3716-02
00:11:06.915 DEBUG Setting new watch iwciw4590-02
00:11:07.107 DEBUG Setting new watch iwciw3903-03
00:11:07.275 DEBUG Setting new watch iwciw3705-03
00:11:07.424 DEBUG Setting new watch iwciw3761-02
00:11:07.577 DEBUG Setting new watch iwciw3290-05
00:11:07.734 DEBUG Setting new watch iwciw3768-05
00:11:07.884 DEBUG Setting new watch iwciw5009-06
00:11:08.184 DEBUG Setting new watch iwciw3785-08
00:11:08.330 DEBUG Setting new watch iwciw3270-11
00:11:08.478 DEBUG Setting new watch iwciw3570-01
00:11:08.622 DEBUG Setting new watch iwciw5101-03
00:11:08.779 DEBUG Setting new watch iwciw3879-05
00:11:09.003 DEBUG Setting new watch iwciw5010-02
00:11:09.140 DEBUG Setting new watch iwciw3270-09
00:11:09.294 DEBUG Setting new watch iwciw4581-05
00:11:09.441 DEBUG Setting new watch iwciw3910-10
00:11:09.619 DEBUG Setting new watch iwciw3777-01
00:11:09.772 DEBUG Setting new watch iwciw3233-11
00:11:09.929 DEBUG Setting new watch iwciw3568-09
00:11:10.086 DEBUG Setting new watch iwciw3716-01
00:11:10.211 DEBUG Setting new watch iwciw3270-01
00:11:10.359 DEBUG Setting new watch iwciw5001-09
00:11:10.546 DEBUG Setting new watch iwciw3565-05
00:11:10.682 DEBUG Setting new watch iwciw3268-02
00:11:10.836 DEBUG Setting new watch iwciw3255-02
00:11:11.023 DEBUG Setting new watch iwciw5102-04
00:11:11.184 DEBUG Setting new watch iwciw3809-01
00:11:11.362 DEBUG Setting new watch iwciw3910-07
00:11:11.522 DEBUG Setting new watch iwciw5007-04
00:11:11.727 DEBUG Setting new watch iwciw3270-06
00:11:11.880 DEBUG Setting new watch iwciw4593-06
00:11:12.026 DEBUG Setting new watch iwciw3934-02
00:11:12.162 DEBUG Setting new watch iwciw5001-17
00:11:12.420 DEBUG Setting new watch jaeger-lecoultreq397846j
00:11:12.564 DEBUG Setting new watch jaeger-lecoultreq1288430
00:11:13.062 DEBUG Setting new watch jaeger-lecoultreq7048420
00:11:13.222 DEBUG Setting new watch jaeger-lecoultreq1548530
00:11:13.382 DEBUG Setting new watch jaeger-lecoultreq1302520
00:11:13.530 DEBUG Setting new watch jaeger-lecoultreq1378420
00:11:13.680 DEBUG Setting new watch jaeger-lecoultreq3848420
00:11:13.819 DEBUG Setting new watch jaeger-lecoultreq2618420
00:11:13.977 DEBUG Setting new watch jaeger-lecoultre145.880.312
